feature,correlation,abs_correlation
hdd_15_5,0.9932823924675771,0.9932823924675771
app_temp,-0.976462010443006,0.976462010443006
temp,-0.970747997439943,0.970747997439943
dewpt,-0.8793196694778919,0.8793196694778919
W1_expected_supply_temp,0.870226913860754,0.870226913860754
V1_expected_supply_temp,0.870226913860754,0.870226913860754
F1_Nord_expected_supply_temp,0.870226913860754,0.870226913860754
V6_expected_delta_T,0.8702269138607538,0.8702269138607538
V6_expected_supply_temp,0.8702269138607536,0.8702269138607536
N2_expected_supply_temp,0.8702269138607536,0.8702269138607536
F1_Nord_expected_delta_T,0.8702269138607536,0.8702269138607536
V1_expected_delta_T,0.8702269138607536,0.8702269138607536
N2_expected_delta_T,0.8702269138607536,0.8702269138607536
W1_expected_delta_T,0.8702269138607536,0.8702269138607536
V2_expected_supply_temp,0.8702269138607531,0.8702269138607531
V2_expected_delta_T,0.8702269138607531,0.8702269138607531
N1_expected_delta_T,0.8702269138607515,0.8702269138607515
ZN_expected_supply_temp,0.8702269138607512,0.8702269138607512
B1_B2_expected_supply_temp,0.8702269138607512,0.8702269138607512
F1_Sud_expected_supply_temp,0.8702269138607512,0.8702269138607512
N1_expected_supply_temp,0.8702269138607512,0.8702269138607512
ZN_expected_delta_T,0.8702269138607509,0.8702269138607509
B1_B2_expected_delta_T,0.8702269138607509,0.8702269138607509
F1_Sud_expected_delta_T,0.8702269138607509,0.8702269138607509
season,-0.5065710954676277,0.5065710954676277
elev_angle,-0.49103729133802904,0.49103729133802904
rh,0.488728519593811,0.488728519593811
ghi,-0.45257845628121995,0.45257845628121995
uv,-0.44751975194604954,0.44751975194604954
solar_rad,-0.4143352946457123,0.4143352946457123
dhi,-0.4136142162558027,0.4136142162558027
dni,-0.39805619125888586,0.39805619125888586
month,-0.2203605712783087,0.2203605712783087
slp,0.2188373738582907,0.2188373738582907
is_daytime,-0.17335671724150575,0.17335671724150575
pres,0.14435989714525752,0.14435989714525752
azimuth,-0.13512914573686294,0.13512914573686294
hour,-0.1265555962966526,0.1265555962966526
clouds,0.09816578716157004,0.09816578716157004
snow,0.0827407144443891,0.0827407144443891
wind_dir,-0.06486206927066744,0.06486206927066744
wind_spd,0.05662186024191713,0.05662186024191713
precip,-0.054453593749903016,0.054453593749903016
ts,-0.038075437184052194,0.038075437184052194
wind_gust_spd,-0.032704996732594,0.032704996732594
year,0.011848122891654198,0.011848122891654198
is_weekend,0.010492937608737405,0.010492937608737405
day_of_week,0.0037020371530826607,0.0037020371530826607
B1_B2_expected_return_temp,,
F1_Nord_expected_return_temp,,
F1_Sud_expected_return_temp,,
Maintal_expected_supply_temp,,
Maintal_expected_return_temp,,
Maintal_expected_delta_T,,
N1_expected_return_temp,,
N2_expected_return_temp,,
V1_expected_return_temp,,
V2_expected_return_temp,,
V6_expected_return_temp,,
W1_expected_return_temp,,
ZN_expected_return_temp,,
