methodology,horizon,split,rmse,mae,r2,mape,model_type,n_features,regularization
Advanced MLR,1h,train,12.839966436137626,9.295264867498897,0.9224182084353918,451.8947246526503,LinearRegression,45,None
Advanced MLR,1h,validation,12.774629142085335,9.197531478839883,0.9196254200075961,468.69325685298884,LinearRegression,45,None
Advanced MLR,6h,train,18.767002325366512,13.654437248278718,0.8342668666486052,522.415853393689,Ridge,45,0.01
Advanced MLR,6h,validation,18.01985750259716,13.052032549302842,0.8404550246168762,496.6853692650675,Ridge,45,0.01
Advanced MLR,24h,train,18.25377624808407,13.142295245981183,0.8432761630496725,474.8676622258272,Ridge,65,0.001
Advanced MLR,24h,validation,18.579382869448416,13.454974091103733,0.830972321628228,494.31237770082504,Ridge,65,0.001
Advanced MLR,48h,train,21.332768321764686,15.105746605508331,0.7858667751734392,504.28224858173553,ElasticNet,66,0.01
Advanced MLR,48h,validation,21.505483519749973,15.445047855867708,0.775673655618547,533.518710370193,ElasticNet,66,0.01
Advanced MLR,72h,train,22.377096661676884,15.620587958879426,0.7641005535013026,472.5352225646481,EnsembleVoting,66,EnsembleVoting
Advanced MLR,72h,validation,23.31080831174281,16.576527608027888,0.740020324978117,530.6047608933745,EnsembleVoting,66,EnsembleVoting
