feature,importance_score,rank
hdd_15_5,0.22677061,1
hour,0.21929832,2
azimuth,0.21203966,3
hdd_18,0.19261213,4
temp,0.14500071,5
app_temp,0.1181223,6
dhi,0.11775219,7
N1_expected_supply_temp,0.10696688,8
dni,0.10506133,9
W1_expected_supply_temp,0.10368974,10
V1_expected_supply_temp,0.10128495,11
N2_expected_supply_temp,0.10067414,12
V6_expected_supply_temp,0.09781231,13
B1_B2_expected_supply_temp,0.09772038,14
F1_Sud_expected_supply_temp,0.09750986,15
F1_Nord_expected_supply_temp,0.09731058,16
ZN_expected_supply_temp,0.09702453,17
V2_expected_supply_temp,0.09289591,18
dewpt,0.087408096,19
solar_rad,0.06846011,20
wind_gust_spd,0.045967523,21
clouds,0.04580949,22
wind_dir,0.036781892,23
F1_Sud_expected_return_temp,5.12147e-40,24
N1_expected_return_temp,5.10153e-40,25
V1_expected_return_temp,5.10035e-40,26
V6_expected_return_temp,5.0956e-40,27
F1_Nord_expected_return_temp,5.09141e-40,28
W1_expected_return_temp,5.08394e-40,29
B1_B2_expected_return_temp,5.08114e-40,30
N2_expected_return_temp,5.07622e-40,31
ZN_expected_return_temp,5.0484e-40,32
V2_expected_return_temp,5.04552e-40,33
