feature,selection_rank,horizon
app_temp,1,1
clouds,2,1
dewpt,3,1
dhi,4,1
dni,5,1
elev_angle,6,1
ghi,7,1
rh,8,1
slp,9,1
solar_rad,10,1
temp,11,1
uv,12,1
vis,13,1
month,14,1
day_of_week,15,1
season,16,1
B1_B2_expected_supply_temp,17,1
B1_B2_expected_delta_T,18,1
F1_Nord_expected_supply_temp,19,1
F1_Nord_expected_delta_T,20,1
F1_Sud_expected_supply_temp,21,1
F1_Sud_expected_delta_T,22,1
N1_expected_supply_temp,23,1
N1_expected_delta_T,24,1
N2_expected_supply_temp,25,1
N2_expected_delta_T,26,1
V1_expected_supply_temp,27,1
V1_expected_delta_T,28,1
V2_expected_supply_temp,29,1
V2_expected_delta_T,30,1
V6_expected_supply_temp,31,1
V6_expected_delta_T,32,1
W1_expected_supply_temp,33,1
W1_expected_delta_T,34,1
ZN_expected_supply_temp,35,1
ZN_expected_delta_T,36,1
hdd_18,37,1
hdd_15_5,38,1
is_weekend,39,1
demand_lag_12h,40,1
demand_lag_23h,41,1
demand_lag_24h,42,1
demand_lag_25h,43,1
demand_lag_36h,44,1
demand_lag_47h,45,1
demand_lag_48h,46,1
demand_lag_49h,47,1
demand_lag_60h,48,1
demand_lag_72h,49,1
demand_lag_84h,50,1
demand_lag_96h,51,1
demand_lag_120h,52,1
demand_lag_144h,53,1
demand_lag_162h,54,1
demand_lag_163h,55,1
demand_lag_164h,56,1
demand_lag_165h,57,1
demand_lag_166h,58,1
demand_lag_167h,59,1
demand_lag_168h,60,1
demand_lag_169h,61,1
demand_lag_170h,62,1
demand_lag_171h,63,1
demand_lag_172h,64,1
demand_lag_174h,65,1
demand_lag_176h,66,1
demand_lag_336h,67,1
demand_lag_504h,68,1
demand_rolling_mean_24h,69,1
demand_rolling_std_24h,70,1
demand_rolling_mean_48h,71,1
demand_rolling_std_48h,72,1
demand_rolling_mean_72h,73,1
demand_rolling_std_72h,74,1
demand_rolling_mean_96h,75,1
demand_rolling_std_96h,76,1
demand_rolling_mean_120h,77,1
demand_rolling_std_120h,78,1
demand_rolling_mean_144h,79,1
demand_rolling_std_144h,80,1
demand_rolling_mean_168h,81,1
demand_rolling_std_168h,82,1
demand_rolling_mean_240h,83,1
demand_rolling_std_240h,84,1
demand_rolling_mean_336h,85,1
demand_rolling_std_336h,86,1
demand_rolling_min_72h,87,1
demand_rolling_max_72h,88,1
demand_rolling_median_72h,89,1
dow_sin,90,1
month_sin,91,1
month_cos,92,1
week_position_sin,93,1
temp_change_72h,94,1
temp_trend_72h,95,1
temp_trend_168h,96,1
temp_volatility_72h,97,1
temp_volatility_168h,98,1
is_business_day,99,1
season_sin,100,1
season_cos,101,1
week_of_year_sin,102,1
week_of_year_cos,103,1
hdd_lag_48h,104,1
hdd_lag_72h,105,1
hdd_lag_168h,106,1
hdd_trend_72h,107,1
B1_B2_lag_72h,108,1
B1_B2_lag_168h,109,1
B1_B2_trend_72h,110,1
V1_lag_72h,111,1
V1_lag_168h,112,1
V1_trend_72h,113,1
W1_lag_72h,114,1
W1_lag_168h,115,1
W1_trend_72h,116,1
F1_Sud_lag_72h,117,1
F1_Sud_lag_168h,118,1
F1_Sud_trend_72h,119,1
weekend_temp_interaction,120,1
